sku,title,outcome,top_score,runner_up_score,score_margin,top_candidate_page_url,top_candidate_image_url,runner_up_page_url,runner_up_image_url,source_class,reasons,disqualifiers,policy_version,notes
9781910931899,The Green Roasting Tin - Rukmini Iyer,review,100,95,5,https://covers.openlibrary.org/b/isbn/9781910931899-L.jpg?default=false,https://covers.openlibrary.org/b/isbn/9781910931899-L.jpg?default=false,https://www.googleapis.com/books/v1/volumes/VZpMswEACAAJ,https://books.google.com/books/content?id=VZpMswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,openlibrary,barcode|openlibrary,winner_tie|low_margin,psv1-6a5dec8a7f75,"winner_tie, low_margin"
978-1398524262,The Dog Park Detectives - Blake Mara,review,100,95,5,https://covers.openlibrary.org/b/isbn/9781398524262-L.jpg?default=false,https://covers.openlibrary.org/b/isbn/9781398524262-L.jpg?default=false,https://www.googleapis.com/books/v1/volumes/423T0AEACAAJ,https://books.google.com/books/content?id=423T0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,openlibrary,barcode|openlibrary,winner_tie|low_margin,psv1-6a5dec8a7f75,"winner_tie, low_margin"
978-1406361803,A Monster Calls - Patrick Ness,review,100,95,5,https://covers.openlibrary.org/b/isbn/9781406361803-L.jpg?default=false,https://covers.openlibrary.org/b/isbn/9781406361803-L.jpg?default=false,https://www.googleapis.com/books/v1/volumes/bxH8rQEACAAJ,https://books.google.com/books/content?id=bxH8rQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,openlibrary,barcode|openlibrary,winner_tie|low_margin,psv1-6a5dec8a7f75,"winner_tie, low_margin"
231 6072650,Dreamworks Dragons - Red Chompin Death Rampage,review,75,75,0,https://www.amazon.com/dp/B0DDXQ4PKK,https://m.media-amazon.com/images/G/01/gno/sprites/nav-sprite-global-1x-reorg-privacy._CB779528203_.png,https://www.amazon.com/dp/B0DDXQ4PKK,https://m.media-amazon.com/images/G/01/social_share/amazon_logo._CB635397845_.png,amazon_detail,asin|title|vendor|detail_page|generic_penalty,below_winner_threshold|low_margin|generic_page,psv1-6a5dec8a7f75,"below_winner_threshold, low_margin, generic_page"
681147061323,Dreamworks Dragons - Red Chompin Death Rampage,review,75,75,0,https://www.amazon.com/dp/B0DDXQ4PKK,https://m.media-amazon.com/images/G/01/gno/sprites/nav-sprite-global-1x-reorg-privacy._CB779528203_.png,https://www.amazon.com/dp/B0DDXQ4PKK,https://m.media-amazon.com/images/G/01/social_share/amazon_logo._CB635397845_.png,amazon_detail,asin|title|vendor|detail_page|generic_penalty,below_winner_threshold|low_margin|generic_page,psv1-6a5dec8a7f75,"below_winner_threshold, low_margin, generic_page"
681147088856,Gabby's Dollhouse Movie - 2-Pack Garden,review,75,75,0,https://www.amazon.co.uk/dp/B0DTJD94KC,https://m.media-amazon.com/images/G/02/gno/sprites/nav-sprite-global-1x-reorg-privacy._CB546380977_.png,https://www.amazon.co.uk/dp/B0DTJD94KC,https://m.media-amazon.com/images/G/02/social_share/amazon_logo._CB633267861_.png,amazon_detail,asin|title|vendor|detail_page|generic_penalty,below_winner_threshold|low_margin|generic_page,psv1-6a5dec8a7f75,"below_winner_threshold, low_margin, generic_page"
MGTC103,TC Dungeon Essentials,review,75,75,0,https://www.amazon.com/dp/B07F7Q78LM,https://m.media-amazon.com/images/G/01/gno/sprites/nav-sprite-global-1x-reorg-privacy._CB779528203_.png,https://www.amazon.com/dp/B07F7Q78LM,https://m.media-amazon.com/images/G/01/social_share/amazon_logo._CB635397845_.png,amazon_detail,asin|title|vendor|detail_page|generic_penalty,below_winner_threshold|low_margin|generic_page,psv1-6a5dec8a7f75,"below_winner_threshold, low_margin, generic_page"
MATTJBP96,Masters of the Universe Masterverse Vintage Collection Action Figure Stratos 18 cm,review,75,75,0,https://www.amazon.com/dp/B0DPQGTDRM,https://m.media-amazon.com/images/G/01/gno/sprites/nav-sprite-global-1x-reorg-privacy._CB779528203_.png,https://www.amazon.com/dp/B0DPQGTDRM,https://m.media-amazon.com/images/G/01/social_share/amazon_logo._CB635397845_.png,amazon_detail,asin|title|vendor|detail_page|generic_penalty,below_winner_threshold|low_margin|generic_page,psv1-6a5dec8a7f75,"below_winner_threshold, low_margin, generic_page"
42003,UNO Card Game,review,75,75,0,https://www.amazon.co.uk/dp/B00GTJSGXE,https://m.media-amazon.com/images/G/02/gno/sprites/nav-sprite-global-1x-reorg-privacy._CB546380977_.png,https://www.amazon.co.uk/dp/B00GTJSGXE,https://m.media-amazon.com/images/G/02/social_share/amazon_logo._CB633267861_.png,amazon_detail,sku|asin|title|vendor|detail_page|generic_penalty,below_winner_threshold|low_margin|generic_page,psv1-6a5dec8a7f75,"below_winner_threshold, low_margin, generic_page"
5029736084233,Peppa Pig Peppa/George/Evie 3-Pack,review,75,75,0,https://www.amazon.com/dp/B0FND1XK2G,https://m.media-amazon.com/images/G/01/gno/sprites/nav-sprite-global-1x-reorg-privacy._CB779528203_.png,https://www.amazon.com/dp/B0FND1XK2G,https://m.media-amazon.com/images/G/01/social_share/amazon_logo._CB635397845_.png,amazon_detail,asin|title|vendor|detail_page|generic_penalty,below_winner_threshold|low_margin|generic_page,psv1-6a5dec8a7f75,"below_winner_threshold, low_margin, generic_page"
674 08423,Peppa Pig Peppa/George/Evie 3-Pack,review,75,75,0,https://www.amazon.com/dp/B0FND1XK2G,https://m.media-amazon.com/images/G/01/gno/sprites/nav-sprite-global-1x-reorg-privacy._CB779528203_.png,https://www.amazon.com/dp/B0FND1XK2G,https://m.media-amazon.com/images/G/01/social_share/amazon_logo._CB635397845_.png,amazon_detail,asin|title|vendor|detail_page|generic_penalty,below_winner_threshold|low_margin|generic_page,psv1-6a5dec8a7f75,"below_winner_threshold, low_margin, generic_page"
TTOM-T72980EN,Articulate! Board Game,review,75,75,0,https://www.amazon.co.uk/dp/B00009R61B,https://m.media-amazon.com/images/G/02/gno/sprites/nav-sprite-global-1x-reorg-privacy._CB546380977_.png,https://www.amazon.co.uk/dp/B00009R61B,https://m.media-amazon.com/images/G/02/social_share/amazon_logo._CB633267861_.png,amazon_detail,asin|title|vendor|detail_page|generic_penalty,below_winner_threshold|low_margin|generic_page,psv1-6a5dec8a7f75,"below_winner_threshold, low_margin, generic_page"
401510006,Bolt Action Starter Set,review,75,75,0,https://www.amazon.com/dp/B0DJRHGK54,https://m.media-amazon.com/images/G/01/gno/sprites/nav-sprite-global-1x-reorg-privacy._CB779528203_.png,https://www.amazon.com/dp/B0DJRHGK54,https://m.media-amazon.com/images/G/01/social_share/amazon_logo._CB635397845_.png,amazon_detail,asin|title|vendor|detail_page|generic_penalty,below_winner_threshold|low_margin|generic_page,psv1-6a5dec8a7f75,"below_winner_threshold, low_margin, generic_page"
401510007,Band of Brothers Two-Player Starter Set (2025),review,75,75,0,https://www.amazon.co.uk/dp/B0F5BJ4HQC,https://m.media-amazon.com/images/G/02/gno/sprites/nav-sprite-global-1x-reorg-privacy._CB546380977_.png,https://www.amazon.co.uk/dp/B0F5BJ4HQC,https://m.media-amazon.com/images/G/02/social_share/amazon_logo._CB633267861_.png,amazon_detail,asin|title|vendor|detail_page|generic_penalty,below_winner_threshold|low_margin|generic_page,psv1-6a5dec8a7f75,"below_winner_threshold, low_margin, generic_page"
